Time,HeatDemand,ElectricityPrice
2025-09-08 00:00,3.58,515.04
2025-09-08 01:00,3.69,525.78
2025-09-08 02:00,3.52,525.26
2025-09-08 03:00,3.35,540.48
2025-09-08 04:00,3.46,559.05
2025-09-08 05:00,3.58,703.4
2025-09-08 06:00,3.64,794.42
2025-09-08 07:00,3.62,847.08
2025-09-08 08:00,3.69,759.8
2025-09-08 09:00,3.76,640.29
2025-09-08 10:00,4.0,551.37
2025-09-08 11:00,3.73,474.61
2025-09-08 12:00,3.57,432.83
2025-09-08 13:00,3.2,489.45
2025-09-08 14:00,3.13,538.31
2025-09-08 15:00,3.09,672.0
2025-09-08 16:00,3.15,927.13
2025-09-08 17:00,3.06,1466.71
2025-09-08 18:00,3.04,3085.9
2025-09-08 19:00,3.0,2301.56
2025-09-08 20:00,2.99,1133.92
2025-09-08 21:00,2.97,924.52
2025-09-08 22:00,3.03,843.88
2025-09-08 23:00,3.1,854.32
2025-09-09 00:00,3.08,838.95
2025-09-09 01:00,2.95,823.21
2025-09-09 02:00,2.82,819.11
2025-09-09 03:00,2.87,820.53
2025-09-09 04:00,2.86,881.62
2025-09-09 05:00,2.91,1360.63
2025-09-09 06:00,2.94,2189.51
2025-09-09 07:00,3.01,1469.47
2025-09-09 08:00,3.24,951.82
2025-09-09 09:00,3.4,758.91
2025-09-09 10:00,3.47,737.94
2025-09-09 11:00,3.36,639.17
2025-09-09 12:00,3.15,620.9
2025-09-09 13:00,2.91,618.73
2025-09-09 14:00,2.87,668.42
2025-09-09 15:00,2.84,745.7
2025-09-09 16:00,2.94,950.48
2025-09-09 17:00,2.93,1437.39
2025-09-09 18:00,3.0,2882.54
2025-09-09 19:00,3.0,1608.3
2025-09-09 20:00,2.87,987.48
2025-09-09 21:00,2.89,848.28
2025-09-09 22:00,2.87,790.76
2025-09-09 23:00,2.94,751.37
2025-09-10 00:00,2.8,754.65
2025-09-10 01:00,2.64,734.66
2025-09-10 02:00,2.57,739.81
2025-09-10 03:00,2.65,747.04
2025-09-10 04:00,2.7,802.99
2025-09-10 05:00,2.7,977.56
2025-09-10 06:00,2.85,1632.32
2025-09-10 07:00,2.99,1282.52
2025-09-10 08:00,3.1,939.21
2025-09-10 09:00,3.16,800.68
2025-09-10 10:00,3.36,725.11
2025-09-10 11:00,3.46,599.04
2025-09-10 12:00,3.36,581.88
2025-09-10 13:00,3.23,612.47
2025-09-10 14:00,3.01,620.67
2025-09-10 15:00,3.06,721.46
2025-09-10 16:00,2.91,922.5
2025-09-10 17:00,3.02,1272.6
2025-09-10 18:00,3.09,2052.92
